date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:21	88466/88466	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2011:24:17%20GMT	https://straxon.webflow.io/	C:/Users/user/Downloads/Digital/straxon.webflow.io/index.html	(from )
21:36:21	20/20	---MCZ	200	added ('OK')	text/plain	date:Sun,%2001%20Dec%202024%2014:18:12%20GMT	https://straxon.webflow.io/robots.txt		(from )
21:36:22	237084/237084	---M-Z	200	added ('OK')	text/css	etag:%22f320c11f4caefe57a3cb98ad74ca9b87%22	https://cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/css/straxon.webflow.0548314f3.css	C:/Users/user/Downloads/Digital/cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/css/straxon.webflow.0548314f3.css	(from https://straxon.webflow.io/)
21:36:22	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/user/Downloads/Digital/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://straxon.webflow.io/)
21:36:23	973/973	---M--	200	added ('OK')	image/png	etag:%22454c59fdb0c7471fdbc37fc838a667ba%22	https://cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/66b305c5f3e38cb268d6b357_32x32-2.png	C:/Users/user/Downloads/Digital/cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/66b305c5f3e38cb268d6b357_32x32-2.png	(from https://straxon.webflow.io/)
21:36:24	6639/6639	---M--	200	added ('OK')	image/png	etag:%22022b1ba8e4dab9addf0863870f3dcdda%22	https://cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/66b305d3f3e38cb268d6b846_256x256.png	C:/Users/user/Downloads/Digital/cdn.prod.website-files.com/6667d918c80d3c3ef174c92b/66b305d3f3e38cb268d6b846_256x256.png	(from https://straxon.webflow.io/)
21:36:24	88085/88085	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202024%2013:40:15%20GMT	https://straxon.webflow.io/home-one	C:/Users/user/Downloads/Digital/straxon.webflow.io/home-one.html	(from https://straxon.webflow.io/)
21:36:24	91287/91287	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2019:27:01%20GMT	https://straxon.webflow.io/home-two	C:/Users/user/Downloads/Digital/straxon.webflow.io/home-two.html	(from https://straxon.webflow.io/)
21:36:24	86400/86400	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2009:39:23%20GMT	https://straxon.webflow.io/home-three	C:/Users/user/Downloads/Digital/straxon.webflow.io/home-three.html	(from https://straxon.webflow.io/)
21:36:24	54084/54084	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2011:56:32%20GMT	https://straxon.webflow.io/about-one	C:/Users/user/Downloads/Digital/straxon.webflow.io/about-one.html	(from https://straxon.webflow.io/)
21:36:25	46851/46851	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2011:13:22%20GMT	https://straxon.webflow.io/about-two	C:/Users/user/Downloads/Digital/straxon.webflow.io/about-two.html	(from https://straxon.webflow.io/)
21:36:25	46182/46182	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2007:34:57%20GMT	https://straxon.webflow.io/about-three	C:/Users/user/Downloads/Digital/straxon.webflow.io/about-three.html	(from https://straxon.webflow.io/)
21:36:25	56294/56294	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2011:24:25%20GMT	https://straxon.webflow.io/service-one	C:/Users/user/Downloads/Digital/straxon.webflow.io/service-one.html	(from https://straxon.webflow.io/)
21:36:25	57551/57551	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2011:24:27%20GMT	https://straxon.webflow.io/service-two	C:/Users/user/Downloads/Digital/straxon.webflow.io/service-two.html	(from https://straxon.webflow.io/)
21:36:26	71867/71867	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202024%2019:09:19%20GMT	https://straxon.webflow.io/service-three	C:/Users/user/Downloads/Digital/straxon.webflow.io/service-three.html	(from https://straxon.webflow.io/)
21:36:26	46935/46935	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2012:00:52%20GMT	https://straxon.webflow.io/projects	C:/Users/user/Downloads/Digital/straxon.webflow.io/projects.html	(from https://straxon.webflow.io/)
21:36:26	41598/41598	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2011:24:29%20GMT	https://straxon.webflow.io/team	C:/Users/user/Downloads/Digital/straxon.webflow.io/team.html	(from https://straxon.webflow.io/)
21:36:27	5175/5175	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Dec%202024%2016:06:26%20GMT	https://straxon.webflow.io/404	C:/Users/user/Downloads/Digital/straxon.webflow.io/404.html	(from https://straxon.webflow.io/)
21:36:27	47756/47756	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2011:24:31%20GMT	https://straxon.webflow.io/pricing	C:/Users/user/Downloads/Digital/straxon.webflow.io/pricing.html	(from https://straxon.webflow.io/)
21:36:27	31762/31762	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2019:27:16%20GMT	https://straxon.webflow.io/blog-one	C:/Users/user/Downloads/Digital/straxon.webflow.io/blog-one.html	(from https://straxon.webflow.io/)
21:36:27	31172/31172	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:19:52%20GMT	https://straxon.webflow.io/blog-two	C:/Users/user/Downloads/Digital/straxon.webflow.io/blog-two.html	(from https://straxon.webflow.io/)
21:36:28	32246/32246	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2010:22:32%20GMT	https://straxon.webflow.io/blog-three	C:/Users/user/Downloads/Digital/straxon.webflow.io/blog-three.html	(from https://straxon.webflow.io/)
21:36:28	32010/32010	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2015:46:49%20GMT	https://straxon.webflow.io/contact-one	C:/Users/user/Downloads/Digital/straxon.webflow.io/contact-one.html	(from https://straxon.webflow.io/)
21:36:28	31173/31173	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2009:39:47%20GMT	https://straxon.webflow.io/contact-two	C:/Users/user/Downloads/Digital/straxon.webflow.io/contact-two.html	(from https://straxon.webflow.io/)
